arquivo,label
sample_01.c,no_leak
sample_02.c,leak
sample_03.c,leak
sample_04.c,leak
sample_05.c,no_leak
sample_06.c,leak
sample_07.c,leak
sample_08.c,leak
sample_09.c,leak
sample_10.c,leak
sample_11.c,leak
sample_12.c,leak
sample_13.c,leak
sample_14.c,no_leak
sample_15.c,no_leak
sample_16.c,leak
sample_17.c,no_leak
sample_18.c,no_leak
sample_19.c,leak
sample_20.c,no_leak
sample_21.c,leak
sample_22.c,leak
sample_23.c,leak
sample_24.c,leak
sample_25.c,leak
sample_26.c,leak
sample_27.c,leak
sample_28.c,leak
sample_29.c,leak
sample_30.c,leak
sample_31.c,leak
sample_32.c,leak
sample_33.c,leak
sample_34.c,leak
sample_35.c,leak
sample_36.c,leak
sample_37.c,leak
sample_38.c,leak
sample_39.c,leak
sample_40.c,leak
sample_41.c,leak
sample_42.c,leak
sample_43.c,leak
sample_44.c,leak
sample_45.c,leak
sample_46.c,leak
sample_47.c,leak
sample_48.c,leak
sample_49.c,leak
sample_50.c,leak
sample_51.c,leak
sample_52.c,leak
sample_53.c,leak
sample_54.c,leak
sample_55.c,leak
sample_56.c,leak
sample_57.c,leak
sample_58.c,leak
sample_59.c,leak
sample_60.c,leak
sample_61.c,leak
sample_62.c,leak
sample_63.c,leak
sample_64.c,leak
sample_65.c,leak
sample_66.c,leak
sample_67.c,leak
sample_68.c,leak
sample_69.c,leak
sample_70.c,leak
sample_71.c,no_leak
sample_72.c,no_leak
sample_73.c,no_leak
sample_74.c,no_leak
sample_75.c,no_leak
sample_76.c,no_leak
sample_77.c,no_leak
sample_78.c,no_leak
sample_79.c,no_leak
sample_80.c,no_leak
sample_81.c,no_leak
sample_82.c,no_leak
sample_83.c,no_leak
sample_84.c,no_leak
sample_85.c,no_leak
sample_86.c,no_leak
sample_87.c,no_leak
sample_88.c,no_leak
sample_89.c,no_leak
sample_90.c,no_leak
sample_91.c,no_leak
sample_92.c,no_leak
sample_93.c,no_leak
sample_94.c,no_leak
sample_95.c,no_leak
sample_96.c,no_leak
sample_97.c,no_leak
sample_98.c,no_leak
sample_99.c,no_leak
sample_100.c,no_leak
sample_101.c,no_leak
sample_102.c,no_leak
sample_103.c,no_leak
sample_104.c,no_leak
sample_105.c,no_leak
sample_106.c,no_leak
sample_107.c,no_leak
sample_108.c,no_leak
sample_109.c,no_leak
sample_110.c,no_leak
sample_111.c,no_leak
sample_112.c,no_leak
sample_113.c,no_leak
sample_114.c,no_leak
sample_115.c,no_leak
sample_116.c,no_leak
sample_117.c,no_leak
sample_118.c,no_leak
sample_119.c,no_leak
sample_120.c,no_leak
